local_id country type participant_age participant_gender participant_occupation participant_occ_detail participant_education participant_edu_length participant_school_year participant_nationality hh_size hh_age_1 hh_age_2 hh_age_3 hh_age_4 hh_age_5 hh_age_6 hh_age_7 hh_age_8 hh_age_9 hh_age_10 hh_age_11 hh_age_12 hh_age_13 hh_age_14 hh_age_15 hh_age_16 hh_age_17 hh_age_18 hh_age_19 hh_age_20 class_size work_contacts work_contacts_nr work_age_1 work_age_2 work_age_3 work_age_4 work_age_5 fill_in_age fill_in_gender child_care child_care_nr child_relationship child_nationality problems day1 month1 year1 dayofweek1 work_day1 holiday1 diary_how1 diary_missed_unsp1 day2 month2 year2 dayofweek2 work_day2 holiday2 diary_how2 diary_missed_unsp2 diary_weight
1 BE 1 22 F 5 NA 3 12 NA BE 2 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 20 3 2006 1 1 0 2 1 1.7051
2 BE 1 21 F 5 NA 7 15 NA BE 4 18 49 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 16 3 2006 4 1 0 1 3 19 3 2006 0 0 0 2 1 0.6037
3 BE 2 14 F 5 NA NA NA 8 BE 5 17 19 48 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 3 18 3 2006 6 0 0 2 1 1.0819
4 BE 1 79 M 2 NA 3 12 NA BE 2 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 2 1 20 3 2006 1 1 0 2 1 2.285
5 BE 2 11 M 5 NA NA NA 5 BE 5 14 18 48 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 20 3 2006 1 1 0 1 3 1.0819
6 BE 1 25 F 1 7 7 15 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 35 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 2 2 21 3 2006 2 1 0 3 4 0.6592
7 BE 1 50 M 1 7 2 9 NA BE 2 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 50 0 0 1 1 1 NA NA NA NA NA NA N 17 3 2006 5 1 0 1 2 19 3 2006 0 0 0 1 2 1.0549
8 BE 1 70 M 2 NA 1 6 NA BE 2 72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 1 1 19 3 2006 0 0 0 1 1 2.285
9 BE 1 59 F 3 NA 3 12 NA BE 2 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 0.9522
10 BE 1 50 M 1 6 7 15 NA BE 3 77 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 3 2 20 3 2006 1 1 0 2 2 0.8367
11 BE 2 11 M 5 NA NA NA 5 BE 4 9 38 39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 26 N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 2 2 0.5116
12 BE 1 54 F 1 7 3 12 NA BE 2 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 30 1 1 0 1 0 NA NA NA NA NA NA N 17 3 2006 5 1 0 1 1 18 3 2006 6 0 0 2 1 1.0549
13 BE 1 32 F 1 7 7 15 NA BE 4 0 1 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y NA 0 1 0 0 0 NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 21 3 2006 2 1 0 1 1 2.3507
14 BE 1 49 F 1 7 3 12 NA BE 4 26 28 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 3 18 3 2006 6 0 0 2 3 1.0063
15 BE 1 41 F 1 7 3 12 NA BE 3 14 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 50 0 0 0 0 1 NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 20 3 2006 1 1 0 1 1 0.87
16 BE 1 60 F 2 NA 7 15 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 1 1 18 3 2006 6 0 0 1 1 0.882
17 BE 1 28 M 1 5 7 15 NA BE 2 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 25 0 0 0 1 0 NA NA NA NA NA NA N 17 3 2006 5 1 0 1 2 18 3 2006 6 0 0 1 2 1.0649
18 BE 1 54 F 3 NA 1 6 NA BE 3 26 55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 1 1 18 3 2006 6 0 0 1 1 0.8367
19 BE 1 39 F 1 7 7 15 NA BE 4 17 20 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 1 18 3 2006 6 0 0 2 1 1.2112
20 BE 1 54 F 3 NA 4 12 NA BE 3 25 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 1 18 3 2006 6 0 0 2 1 0.8367
21 BE 1 47 F 1 7 3 12 NA BE 3 20 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 1 18 3 2006 6 0 0 2 1 0.8875
22 BE 1 43 F 4 NA 2 9 NA BE 4 19 20 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 15 3 2006 3 1 0 1 1 18 3 2006 6 0 0 2 1 1.6599
23 BE 1 69 F 2 NA 4 12 NA BE 2 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 21 3 2006 2 1 0 1 1 1.4922
24 BE 1 66 F 2 NA 7 15 NA BE 2 65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA Y 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 1.4922
25 BE 1 53 F 1 7 3 12 NA BE 2 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 40 0 0 0 1 1 NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 21 3 2006 2 1 0 2 4 1.0549
