local_id	global_id	country	cnt_count	cnt_age_mean	cnt_age_l	cnt_age_r	cnt_sex	cnt_home	cnt_work	cnt_school	cnt_transport	cnt_leisure	cnt_otherplace	cnt_frequency	cnt_touch	cnt_duration
1	7255	BE	12	45	40	50	F	0	0	0	0	0	1	3	2	2
1	7255	BE	12	23	23	 	F	0	0	1	0	0	0	3	2	4
1	7255	BE	12	24	24	 	M	1	0	0	0	0	0	1	1	5
1	7255	BE	12	25	25	 	F	1	0	0	0	0	0	2	2	5
1	7255	BE	12	22	22	 	F	1	0	0	0	0	0	3	2	4
1	7255	BE	12	57	55	60	 	0	0	0	0	1	0	5	2	2
1	7255	BE	12	21	21	 	F	0	0	1	0	0	0	2	2	4
1	7255	BE	12	21	21	 	F	0	0	1	0	0	0	2	2	3
1	7255	BE	12	57	55	60	M	0	0	0	0	1	0	4	2	3
1	7255	BE	12	21	21	 	F	0	0	1	0	0	0	2	2	4
1	7255	BE	12	21	21	 	F	0	0	1	0	0	0	2	2	4
1	7255	BE	12	27	27	 	F	0	0	1	0	0	0	3	2	4
2	7256	BE	24	22	22	 	M	 	 	 	 	 	 	 	1	3
2	7256	BE	24	19	19	 	M	1	0	0	0	0	0	1	1	3
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	2
2	7256	BE	24	20	20	 	F	0	0	1	0	0	0	2	2	1
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	19	19	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	19	19	 	F	1	0	0	0	0	0	2	2	2
2	7256	BE	24	19	19	 	F	0	0	1	0	0	0	2	1	1
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	18	18	 	M	0	0	1	0	0	0	1	2	3
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	1	4
2	7256	BE	24	22	22	 	M	1	0	0	0	0	0	1	2	3
2	7256	BE	24	20	20	 	F	1	0	0	0	0	0	1	1	3
2	7256	BE	24	18	18	 	F	1	0	0	0	0	0	2	2	2
2	7256	BE	24	42	40	45	F	0	0	1	0	0	0	2	2	3
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	40	35	45	F	0	0	1	0	0	0	3	2	3
2	7256	BE	24	21	21	 	M	1	0	0	0	0	0	1	2	3
2	7256	BE	24	18	18	 	F	0	0	1	0	0	0	1	2	4
2	7256	BE	24	29	29	 	M	 	 	 	 	 	 	1	1	3
2	7256	BE	24	19	19	 	M	0	0	1	0	0	0	1	2	2
3	7257	BE	19	13	13	 	F	0	0	0	0	1	0	2	1	3
3	7257	BE	19	14	14	 	F	0	0	1	0	0	0	1	2	4
3	7257	BE	19	13	13	 	F	0	0	1	0	0	0	1	1	3
3	7257	BE	19	13	13	 	F	0	0	1	0	0	0	1	1	4
3	7257	BE	19	15	15	 	M	0	0	0	0	1	0	2	1	3
3	7257	BE	19	14	14	 	M	0	0	0	0	1	0	2	2	3
3	7257	BE	19	48	48	 	F	1	0	0	0	0	0	1	1	5
