age be de it lu nl pl fi uk
0 115888 704988 554951 5451 193763 354174 57602 717900
1 113503 710046 547245 5279 201322 349018 56791 691400
2 112949 724130 543129 5466 202834 352386 55850 670200
3 115415 741711 540573 5636 204656 362496 56390 662600
4 117104 775447 547538 5849 208051 376407 57060 672500
5 115919 778818 540104 5782 203078 380671 57883 691800
6 116997 794354 536996 5550 201548 391755 57250 708200
7 118809 818738 535253 5771 195283 407362 59682 724700
8 119193 804014 537593 5982 193763 426972 61083 731600
9 118196 779062 536383 5836 194244 438712 63536 730200
10 119194 788748 542103 5880 199796 464067 65571 740600
11 123897 821374 555729 5746 199337 483326 65378 754900
12 128402 842561 577963 5687 201597 505154 67361 771900
13 130356 876155 577463 5533 204349 535322 66297 790100
14 129036 964512 582689 5676 204953 549415 66826 789500
15 126406 955150 575736 5442 197164 555606 64799 785300
16 125495 983816 582717 5408 195245 570685 64877 793300
17 123174 965211 564840 5192 196608 583539 61532 795000
18 123515 953027 572639 5216 196833 613328 62457 788500
19 120593 930660 593327 5054 193533 657316 64440 796200
20 122795 938284 605472 5177 191739 676773 66763 786200
21 124746 955094 622515 5131 188024 690922 68370 767600
22 128448 989696 647749 5218 190898 663251 67848 759200
23 132324 995985 657600 5362 197482 632700 65397 771600
24 133452 1011157 676271 5245 201209 643113 64986 789600
25 132873 967850 705622 5331 196029 633245 65154 771700
26 131914 959583 751526 5628 198202 616736 65580 738000
27 131275 954065 781768 5897 196699 607733 66720 717700
28 130507 942967 823696 5989 199726 611827 67358 728500
29 129193 920783 873429 6311 202271 592512 66041 753900
30 134317 935934 914393 6353 212370 572406 63108 772300
31 139367 948735 914939 6504 221127 549521 57481 806200
32 145250 1042715 928448 6994 240362 533298 59688 852300
33 149450 1153319 941215 7317 252739 510784 61875 888100
34 151113 1208122 933514 7391 264801 498943 64202 898200
35 150789 1298062 961277 7576 271362 478553 65672 907500
36 150684 1361271 951261 7732 260113 472598 70847 923400
37 152614 1396023 958236 7953 258114 466263 73085 937300
38 157675 1436163 979731 8027 259756 470143 73691 947200
39 161957 1446132 980121 7987 264760 478790 74021 950000
40 167338 1471934 993059 8218 269524 490298 75669 946800
41 164608 1463934 933076 7866 265525 501697 76785 933600
42 161462 1419889 903912 7634 261123 507302 75842 914300
43 161900 1399349 887288 7472 258950 526392 75644 891500
44 159684 1361891 859848 7389 252643 560246 75526 863900
45 160714 1319398 840205 7179 250854 593543 75408 837900
46 157088 1253391 803943 7036 244306 617482 73214 822700
47 154048 1228841 798441 7006 239688 628223 76677 801700
48 151353 1199763 786500 6679 236046 624700 78971 774200
49 149259 1166096 774969 6405 230785 629521 78454 750500
50 146341 1148046 766285 6465 227712 607117 78732 742000
51 142763 1113855 734130 6148 224473 601028 78023 739000
52 141755 1117256 727640 6088 225103 593930 80915 730100
53 136020 1095815 728847 5569 217476 581796 78431 727800
54 136613 1103272 758677 5613 218737 558490 81392 739800
55 135461 1065894 763890 5546 221656 529319 84037 760600
56 136774 980565 800425 5533 228295 512857 85645 798100
57 135162 923799 785475 5332 240080 476890 85338 846400
58 135102 810138 788840 5059 247016 432402 83157 787500
59 113987 718034 613549 4423 177031 312986 74150 697400
60 113148 952224 633182 4310 184262 305006 59600 680800
61 106913 967657 643383 4385 174083 294838 56435 658300
62 93743 941731 641212 4284 159871 288328 45273 611100
63 85395 1138052 648453 3928 151468 305420 65316 561200
64 94937 1198112 714051 3974 154409 317929 46485 552100
65 102156 1171624 704866 4103 147153 318084 53720 561400
66 103312 1089904 686355 3913 142490 312851 51690 556900
67 98655 1013057 635697 3710 132479 312500 48209 545200
68 95706 979443 602544 3707 130076 313910 45434 528700
69 94162 937396 616364 3487 125308 304359 45136 509900
70 94917 862525 598644 3441 121801 291282 42627 488300
71 93733 688150 581353 3375 117279 279808 39745 473100
72 95916 677310 559755 3360 117136 284891 41191 466600
73 94502 679357 558427 3559 111825 279125 41383 461500
74 92683 704524 570027 3502 109951 277268 41390 448600
75 84559 669442 513681 3327 101866 250454 39754 428100
76 80835 649616 496888 3018 98217 233938 37960 404100
77 76315 589997 478648 2915 90726 207936 34767 385900
78 73529 562120 450477 2578 87103 195722 33152 371200
79 70868 536004 427411 2285 81687 189958 31464 352300
80 66104 477455 401354 2105 77791 162160 28417 380800
