country	local_id	global_id	type	day	month	year	participant_age	participant_gender	participant_occupation	participant_occ_detail	participant_education	participant_edu_length	participant_school_year	participant_nationality	hh_size	hh_age_1	hh_age_2	hh_age_3	hh_age_4	hh_age_5	hh_age_6	hh_age_7	hh_age_8	hh_age_9	hh_age_10	hh_age_11	hh_age_12	hh_age_13	hh_age_14	hh_age_15	hh_age_16	hh_age_17	hh_age_18	hh_age_19	hh_age_20	class_size	work_contacts	work_contacts_nr	child_care	child_care_nr	child_relationship	child_nationality	problems	diary_how	diary_missed_unsp	diary_missed_skin	diary_missed_noskin	diary_weight	dayofweek	cnt_count
BE	1	7255	1	20	3	2006	22	F	5	 	3	12	 	BE	2	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.7051	1	12
BE	2	7256	1	16	3	2006	21	F	5	 	7	15	 	BE	4	18	49	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	3	 	 	0.6037	4	24
BE	3	7257	2	17	3	2006	14	F	5	 	 	 	8	BE	5	17	19	48	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	N	 	 	 	 	 	N	2	3	 	 	1.0819	5	19
BE	4	7258	1	19	3	2006	79	M	2	 	3	12	 	BE	2	77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	2.285	0	4
BE	5	7259	2	19	3	2006	11	M	5	 	 	 	5	BE	5	14	18	48	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	N	 	 	 	 	 	N	1	1	 	 	1.0819	0	16
BE	6	7260	1	21	3	2006	25	F	1	7	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	35	 	 	 	 	N	3	4	 	 	0.6592	2	49
BE	7	7261	1	17	3	2006	50	M	1	7	2	9	 	BE	2	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	1	2	 	 	1.0549	5	68
BE	8	7262	1	19	3	2006	70	M	2	 	1	6	 	BE	2	72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	2.285	0	13
BE	9	7263	1	20	3	2006	59	F	3	 	3	12	 	BE	2	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.9522	1	8
BE	10	7264	1	20	3	2006	50	M	1	6	7	15	 	BE	3	77	78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.8367	1	14
BE	11	7265	2	18	3	2006	11	M	5	 	 	 	5	BE	4	9	38	39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	26	N	 	 	 	 	 	N	1	1	 	 	0.5116	6	20
BE	12	7266	1	17	3	2006	54	F	1	7	3	12	 	BE	2	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	1	1	 	 	1.0549	5	41
BE	13	7267	1	21	3	2006	32	F	1	7	7	15	 	BE	4	0	1	35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	1	1	 	 	2.3507	2	18
BE	14	7268	1	17	3	2006	49	F	1	7	3	12	 	BE	4	26	28	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	3	 	 	1.0063	5	8
BE	15	7269	1	20	3	2006	41	F	1	7	3	12	 	BE	3	14	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	1	1	 	 	0.87	1	58
BE	16	7270	1	17	3	2006	60	F	2	 	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.882	5	11
BE	17	7271	1	17	3	2006	28	M	1	5	7	15	 	BE	2	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	25	 	 	 	 	N	1	2	 	 	1.0649	5	40
BE	18	7272	1	17	3	2006	54	F	3	 	1	6	 	BE	3	26	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.8367	5	6
BE	19	7273	1	17	3	2006	39	F	1	7	7	15	 	BE	4	17	20	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.2112	5	15
BE	20	7274	1	17	3	2006	54	F	3	 	4	12	 	BE	3	25	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8367	5	7
BE	21	7275	1	18	3	2006	47	F	1	7	3	12	 	BE	3	20	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8875	6	6
BE	22	7276	1	18	3	2006	43	F	4	 	2	9	 	BE	4	19	20	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.6599	6	13
BE	23	7277	1	21	3	2006	69	F	2	 	4	12	 	BE	2	71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.4922	2	5
BE	24	7278	1	18	3	2006	66	F	2	 	7	15	 	BE	2	65	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	Y	1	1	 	 	1.4922	6	17
BE	25	7279	1	21	3	2006	53	F	1	7	3	12	 	BE	2	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	4	 	 	1.0549	2	47
BE	26	7280	1	20	3	2006	34	M	1	7	7	15	 	BE	3	0	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	 	 	 	 	N	1	1	 	 	0.7721	1	11
BE	27	7281	1	20	3	2006	58	F	3	 	4	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0573	1	9
BE	28	7282	1	20	3	2006	55	F	1	7	3	12	 	BE	3	30	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	1	3	 	 	1.0135	1	99
BE	29	7283	1	20	3	2006	49	F	1	8	4	12	 	BE	6	13	17	22	28	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	35	 	 	 	 	N	1	4	 	 	1.0331	1	60
BE	30	7284	1	20	3	2006	24	M	6	 	7	15	 	BE	2	25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	1.7051	1	13
BE	31	7285	1	27	3	2006	50	F	6	 	4	12	 	BE	2	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	1.0549	1	2
BE	32	7286	1	18	3	2006	61	M	1	7	7	15	 	BE	3	31	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	1	4	 	 	1.366	6	5
BE	33	7287	1	20	3	2006	41	F	3	 	3	12	 	BE	5	12	16	17	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	2.3409	1	11
BE	34	7288	1	18	3	2006	53	F	3	 	1	6	 	BE	2	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0549	6	11
BE	35	7289	1	20	3	2006	56	M	1	7	7	15	 	EU	4	21	25	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	1	1	 	 	0.5455	1	52
BE	36	7290	1	20	3	2006	55	F	1	7	7	15	 	BE	4	20	24	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	25	 	 	 	 	N	2	1	 	 	0.5455	1	36
BE	37	7291	1	18	3	2006	29	F	1	7	7	15	 	BE	3	4	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	1	1	 	 	1.007	6	14
BE	38	7292	1	20	3	2006	61	M	2	 	3	12	 	BE	2	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.7616	1	16
BE	39	7293	1	20	3	2006	45	F	1	5	7	15	 	BE	4	16	18	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	1	 	 	1.0063	1	28
BE	40	7294	1	21	3	2006	69	M	2	 	7	15	 	BE	2	66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.4922	2	18
BE	41	7295	3	18	3	2006	1	F	1	7	3	12	 	BE	3	27	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	1	1	BE	N	2	2	 	 	0.3006	6	8
BE	42	7296	1	15	3	2006	56	F	2	 	7	15	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.9522	3	9
BE	43	7297	2	20	3	2006	14	M	5	 	 	 	8	BE	4	12	41	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	N	 	 	 	 	 	N	2	2	 	 	0.5116	1	9
BE	44	7298	1	21	3	2006	68	F	2	 	2	9	 	BE	2	78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.4922	2	14
BE	45	7299	1	21	3	2006	63	M	2	 	7	15	 	BE	2	59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.7616	2	7
BE	46	7300	1	21	3	2006	48	F	3	 	3	12	 	BE	2	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.7036	2	16
BE	47	7301	1	20	3	2006	29	M	4	 	3	12	 	BE	5	4	31	61	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	1.3812	1	23
BE	48	7302	2	21	3	2006	13	F	5	 	 	 	7	BE	6	0	2	7	30	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	1.0819	2	37
BE	49	7303	1	22	3	2006	39	F	1	7	7	15	 	BE	5	12	10	14	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	130	 	 	 	 	N	3	1	 	 	1.3126	3	156
BE	50	7304	1	23	3	2006	60	M	2	 	3	12	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.7616	4	10
BE	51	7305	1	22	3	2006	43	M	1	6	7	15	 	BE	3	8	36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	1	 	 	0.87	3	22
BE	52	7306	1	21	3	2006	35	F	1	5	7	15	 	BE	5	5	6	7	35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	5	 	 	 	 	N	2	1	 	 	1.3126	2	37
BE	53	7307	1	23	3	2006	60	F	2	 	7	15	 	BE	2	61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.7616	4	10
BE	54	7308	1	24	3	2006	37	M	1	8	3	12	 	OT	4	2	5	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	60	 	 	 	 	N	2	1	 	 	1.2112	5	66
BE	55	7309	1	22	3	2006	68	M	2	 	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0388	3	4
BE	56	7310	1	25	3	2006	43	F	3	 	4	12	 	BE	3	16	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.87	6	12
BE	57	7311	1	24	3	2006	29	M	1	7	7	15	 	BE	3	61	68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.007	5	16
BE	58	7312	1	24	3	2006	27	M	1	7	7	15	 	BE	2	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	1	1	 	 	1.0649	5	34
BE	59	7313	1	25	3	2006	48	F	1	7	7	15	 	BE	4	19	22	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0063	6	6
BE	60	7314	1	23	3	2006	33	M	1	7	7	15	 	BE	3	62	68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	0.7721	4	14
BE	61	7315	1	22	3	2006	36	F	4	 	7	15	 	BE	4	1	3	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.2112	3	14
BE	62	7316	1	24	3	2006	42	F	4	 	3	12	 	BE	3	15	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.87	5	3
BE	63	7317	1	23	3	2006	38	F	6	 	7	15	 	BE	4	7	12	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	90	 	 	 	 	N	1	1	 	 	1.2112	4	104
BE	64	7318	1	25	3	2006	62	F	2	 	2	9	 	BE	3	31	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.366	6	7
BE	65	7319	1	25	3	2006	47	F	1	7	2	9	 	BE	3	24	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	0.8875	6	4
